Feature,Importance,Model,Algorithm
VisibilityScore,0.23675696135975308,Next_Clicks,RandomForest
TrafficValue,0.21790459858105102,Next_Clicks,RandomForest
clicks,0.20379757716700936,Next_Clicks,RandomForest
clicks_lag_7_avg,0.11531346507355678,Next_Clicks,RandomForest
TrafficValue_lag_7_avg,0.0894218420692704,Next_Clicks,RandomForest
users,0.028008720414727333,Next_Clicks,RandomForest
conversions,0.02527080555932499,Next_Clicks,RandomForest
sessions,0.016756142375143654,Next_Clicks,RandomForest
TrafficValue_lag_1,0.006408517495735656,Next_Clicks,RandomForest
clicks_lag_1,0.006091847930054922,Next_Clicks,RandomForest
impressions,0.0058138690049232234,Next_Clicks,RandomForest
clicks_change,0.002987455961340452,Next_Clicks,RandomForest
add_to_carts,0.0019933102071016677,Next_Clicks,RandomForest
position_lag_7_avg,0.001975099681737154,Next_Clicks,RandomForest
impressions_lag_7_avg,0.001951619691128758,Next_Clicks,RandomForest
CartRate,0.001392856726123002,Next_Clicks,RandomForest
ctr_change,0.0013207486126116939,Next_Clicks,RandomForest
engaged_sessions,0.001308119864388764,Next_Clicks,RandomForest
purchases,0.00127220379305362,Next_Clicks,RandomForest
impressions_change,0.001226008456368094,Next_Clicks,RandomForest
day_of_week,0.0011299452424022981,Next_Clicks,RandomForest
checkouts,0.001116208522767436,Next_Clicks,RandomForest
OrganicConversionRate,0.00102748951434829,Next_Clicks,RandomForest
CTR_lag_1,0.001002758656654692,Next_Clicks,RandomForest
CTR,0.000896474672360064,Next_Clicks,RandomForest
position_lag_1,0.000892548706163772,Next_Clicks,RandomForest
revenue,0.000826766036092906,Next_Clicks,RandomForest
day_of_month,0.0007813334663971201,Next_Clicks,RandomForest
engagement_rate,0.0007014893693330739,Next_Clicks,RandomForest
impressions_lag_1,0.000695451809927938,Next_Clicks,RandomForest
RevenuePerOrganicSession,0.0006892582542554939,Next_Clicks,RandomForest
average_session_duration,0.000594357494618566,Next_Clicks,RandomForest
CTR_lag_7_avg,0.00055320428317882,Next_Clicks,RandomForest
CheckoutRate,0.00054937545225101,Next_Clicks,RandomForest
position,0.00046512752704850604,Next_Clicks,RandomForest
position_change,0.000426587054622302,Next_Clicks,RandomForest
RankStrength,0.000320785483041646,Next_Clicks,RandomForest
RevenuePerOrganicClick,0.00018780110770103198,Next_Clicks,RandomForest
month_num,0.000127624433808592,Next_Clicks,RandomForest
is_weekend,2.633797312698158e-05,Next_Clicks,RandomForest
Top3Flag,8.900549323270132e-06,Next_Clicks,RandomForest
quarter,6.5654141751188516e-06,Next_Clicks,RandomForest
is_pre_holiday,1.740980044095779e-06,Next_Clicks,RandomForest
is_holiday,5.255319800401752e-08,Next_Clicks,RandomForest
Top10Flag,4.410686898669427e-08,Next_Clicks,RandomForest
Page2Flag,1.311884537701519e-09,Next_Clicks,RandomForest
impressions_change,892.78,Next_Impressions,LightGBM
impressions,750.68,Next_Impressions,LightGBM
impressions_lag_1,440.02,Next_Impressions,LightGBM
day_of_week,371.42,Next_Impressions,LightGBM
impressions_lag_7_avg,348.88,Next_Impressions,LightGBM
engaged_sessions,334.18,Next_Impressions,LightGBM
users,292.04,Next_Impressions,LightGBM
day_of_month,271.46,Next_Impressions,LightGBM
conversions,256.76,Next_Impressions,LightGBM
sessions,237.16,Next_Impressions,LightGBM
position_change,213.64,Next_Impressions,LightGBM
checkouts,211.68,Next_Impressions,LightGBM
clicks_lag_7_avg,192.07999999999998,Next_Impressions,LightGBM
CheckoutRate,178.35999999999999,Next_Impressions,LightGBM
engagement_rate,176.4,Next_Impressions,LightGBM
OrganicConversionRate,164.64,Next_Impressions,LightGBM
clicks_change,160.72,Next_Impressions,LightGBM
average_session_duration,159.74,Next_Impressions,LightGBM
clicks_lag_1,156.8,Next_Impressions,LightGBM
clicks,151.9,Next_Impressions,LightGBM
ctr_change,134.26,Next_Impressions,LightGBM
CTR_lag_7_avg,129.35999999999999,Next_Impressions,LightGBM
CartRate,119.56,Next_Impressions,LightGBM
position,110.74,Next_Impressions,LightGBM
position_lag_1,108.78,Next_Impressions,LightGBM
CTR,107.8,Next_Impressions,LightGBM
revenue,106.82,Next_Impressions,LightGBM
month_num,90.16,Next_Impressions,LightGBM
CTR_lag_1,90.16,Next_Impressions,LightGBM
position_lag_7_avg,83.3,Next_Impressions,LightGBM
RevenuePerOrganicClick,83.3,Next_Impressions,LightGBM
add_to_carts,55.86,Next_Impressions,LightGBM
RankStrength,40.18,Next_Impressions,LightGBM
RevenuePerOrganicSession,37.24,Next_Impressions,LightGBM
TrafficValue_lag_1,17.64,Next_Impressions,LightGBM
purchases,17.64,Next_Impressions,LightGBM
TrafficValue_lag_7_avg,16.66,Next_Impressions,LightGBM
TrafficValue,14.7,Next_Impressions,LightGBM
is_weekend,14.7,Next_Impressions,LightGBM
is_pre_holiday,7.84,Next_Impressions,LightGBM
VisibilityScore,0.98,Next_Impressions,LightGBM
quarter,0.98,Next_Impressions,LightGBM
Top3Flag,0.0,Next_Impressions,LightGBM
Top10Flag,0.0,Next_Impressions,LightGBM
Page2Flag,0.0,Next_Impressions,LightGBM
is_holiday,0.0,Next_Impressions,LightGBM
