page,EntityName,page_type,keyword_intent,GEOReadinessScore,GEOReadinessGap,GEOOpportunityScore,GEOPriority,GEOMissingSignals,GEORecommendedActions,GEOWhyNow,PageOpportunityScore,DemandScore,CommerceScore,Revenue,Purchases,AddToCarts,Impressions,Clicks,CurrentPosition,AIMeasurementStatus
https://demo.example.com/,Homepage,Demo Category 01,Transactional,15.9,65.598,86.3,High,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 15.9/100; SEO opportunity 74.0/100; commercial score 100.0/100; page type category.,74.0,100.0,100.0,938781.44643264,562.7399999999999,3720.75,159095.4,18292.960000000003,2.3756766510285097,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
https://demo.example.com/page-007,Demo Store Monny Baskili Erkek Ilk Adim Kot Sneaker P 950 E26Y 190 20,Demo Category 01,Uncategorized,15.9,65.598,83.0,High,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 15.9/100; SEO opportunity 83.2/100; commercial score 86.5/100; page type category.,83.234350132626,75.83554376657825,86.50132625994696,1290.55681248,1.13,22.5,90.10000000000001,1.12,7.0,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
https://demo.example.com/page-010,Demo Store Monny Baskili Kiz Ilk Adim Beyaz Sneaker P 950 E26Y 190 11,Demo Category 01,Uncategorized,15.9,65.598,77.4,High,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 15.9/100; SEO opportunity 62.8/100; commercial score 91.0/100; page type category.,62.84190981432361,67.90450928381962,91.0450928381963,3392.5247702399997,2.26,11.25,55.120000000000005,5.6000000000000005,1.0,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
https://demo.example.com/page-006,Demo Store Monny Baskili Erkek Bebek Kot Sneaker P 950 B26Y 190 20,Demo Category 01,Uncategorized,15.9,65.598,73.7,High,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 15.9/100; SEO opportunity 64.4/100; commercial score 50.7/100; page type category.,64.44933687002653,81.24668435013263,50.679045092838194,0.0,0.0,19.5,146.28,5.6000000000000005,11.0,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
https://demo.example.com/page-011,Demo Store Monny Baskili Kiz Ilk Adim Pudra Sneaker P 950 E26Y 190 114,Demo Category 01,Uncategorized,15.9,65.598,70.3,High,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 15.9/100; SEO opportunity 68.3/100; commercial score 46.4/100; page type category.,68.26657824933687,56.15384615384615,46.36604774535809,0.0,0.0,3.0,25.44,0.0,5.0,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
https://demo.example.com/page-014,Demo Store Monny Kurklu Erkek Cocuk Saks Mavi Bot P 941 F22K 235 05,Demo Category 01,Uncategorized,15.9,65.598,70.3,High,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 15.9/100; SEO opportunity 64.1/100; commercial score 46.9/100; page type category.,64.07214854111406,62.625994694960205,46.90185676392573,0.0,0.0,3.75,39.22,0.0,8.0,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
https://demo.example.com/page-013,Demo Store Monny Kurklu Erkek Cocuk Lacivert Bot P 941 F22K 235 01,Demo Category 01,Uncategorized,15.9,65.598,68.0,Medium,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 15.9/100; SEO opportunity 48.9/100; commercial score 49.1/100; page type category.,48.87877984084881,70.82228116710876,49.06631299734748,0.0,0.0,9.0,63.6,0.0,2.5,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
https://demo.example.com/page-009,Demo Store Monny Baskili Kiz Bebek Pudra Sneaker P 950 B26Y 190 114,Demo Category 01,Uncategorized,15.9,65.598,67.2,Medium,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 15.9/100; SEO opportunity 55.3/100; commercial score 46.9/100; page type category.,55.34694960212201,56.52519893899204,46.90185676392573,0.0,0.0,3.75,26.5,1.12,12.0,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
https://demo.example.com/page-015,Demo Store Monny Kurklu Erkek Okul Oncesi Saks Mavi Bot P 941 P22K 235 05,Demo Category 01,Uncategorized,15.9,65.598,62.8,Medium,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 15.9/100; SEO opportunity 54.6/100; commercial score 37.7/100; page type category.,54.6315649867374,37.771883289124666,37.681697612732094,0.0,0.0,0.0,7.42,0.0,8.0,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
https://demo.example.com/page-012,Demo Store Monny Kurklu Erkek Bebek Lacivert Bot P 941 B22K 235 01,Demo Category 01,Uncategorized,15.9,65.598,61.0,Medium,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 15.9/100; SEO opportunity 52.4/100; commercial score 37.7/100; page type category.,52.43660477453581,28.9920424403183,37.681697612732094,0.0,0.0,0.0,4.24,0.0,8.0,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
https://demo.example.com/page-008,Demo Store Monny Baskili Kiz Bebek Beyaz Sneaker P 950 B26Y 190 11,Demo Category 01,Uncategorized,15.9,65.598,57.2,Medium,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 15.9/100; SEO opportunity 37.2/100; commercial score 37.7/100; page type category.,37.236604774535806,28.9920424403183,37.681697612732094,0.0,0.0,0.0,4.24,1.12,17.0,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
https://demo.example.com/page-004,Demo Store Monno Basic Unisex Bebek Haki Sneaker P 925 B24K 463 19,Demo Category 01,Uncategorized,17.0,64.74000000000001,54.8,Medium,Clear H1 / topic definition | Concise meta summary | Relevant structured data / schema | Answer-first Q&A / FAQ coverage | Deeper factual and semantically complete content,"Add a clear category definition and buying-selection criteria | Answer common comparison, sizing, material and use-case questions | Link to supporting guides and high-value product entities",Readiness 17.0/100; SEO opportunity 43.0/100; commercial score 37.7/100; page type category.,43.00557029177719,7.267904509283819,37.681697612732094,0.0,0.0,0.0,1.06,0.0,10.0,GEO readiness proxy only; direct ChatGPT/Gemini/AI Overviews citation tracking is not connected.
