date,page,page_key,clicks,impressions,query,position,ctr,sessions,users,engaged_sessions,conversions,revenue,purchases,add_to_carts,checkouts,engagement_rate,average_session_duration,page_type,keyword_intent
2026-06-18,https://demo.example.com/,/,298.41,3430.3500000000004,demo search query 001,2.539638812366085,0.08699112335475971,1762.45,1252.7099999999998,1004.18,1454.6799999999998,21210.6360144,6.72,94.24,1091.23,0.4876790830945559,120.26706411289398,Demo Category 01,Transactional
2026-06-18,https://demo.example.com/page-006,/vicco-monny-baskili-erkek-bebek-kot-sneaker-p-950-b26y-190-20,0.0,1.05,demo search query 002,2.0,0.0,4.04,0.0,3.54,5.739999999999999,0.0,0.0,1.52,3.57,0.75,137.884437,Demo Category 01,Uncategorized
2026-06-18,https://demo.example.com/page-008,/vicco-monny-baskili-kiz-bebek-beyaz-sneaker-p-950-b26y-190-11,0.0,1.05,demo search query 002,11.0,0.0,4.04,0.9299999999999999,2.36,2.46,0.0,0.0,0.0,2.38,0.5,132.55513075000002,Demo Category 01,Uncategorized
2026-06-18,https://demo.example.com/page-009,/vicco-monny-baskili-kiz-bebek-pudra-sneaker-p-950-b26y-190-114,0.0,1.05,demo search query 002,10.0,0.0,1.01,0.9299999999999999,1.18,0.0,0.0,0.0,0.0,0.0,1.0,16.895406,Demo Category 01,Uncategorized
2026-06-18,https://demo.example.com/page-010,/vicco-monny-baskili-kiz-ilk-adim-beyaz-sneaker-p-950-e26y-190-11,0.0,1.05,demo search query 002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Demo Category 01,Uncategorized
2026-06-18,https://demo.example.com/page-013,/vicco-monny-kurklu-erkek-cocuk-lacivert-bot-p-941-f22k-235-01,0.0,1.05,demo search query 002,6.0,0.0,3.0300000000000002,0.0,1.18,2.46,0.0,0.0,0.0,0.0,0.3333333333333333,15.271607333333334,Demo Category 01,Uncategorized
2026-06-18,https://demo.example.com/page-014,/vicco-monny-kurklu-erkek-cocuk-saks-mavi-bot-p-941-f22k-235-05,0.0,1.05,demo search query 002,8.0,0.0,1.01,0.0,1.18,0.82,0.0,0.0,0.0,1.19,1.0,38.115487,Demo Category 01,Uncategorized
2026-06-19,https://demo.example.com/,/,298.41,3126.9,demo search query 003,2.6178643384822027,0.09543317662860981,1693.77,1198.77,977.04,1402.1999999999998,21068.531990400003,8.4,92.72,1111.46,0.4937388193202147,100.60539408765652,Demo Category 01,Transactional
2026-06-19,https://demo.example.com/page-007,/vicco-monny-baskili-erkek-ilk-adim-kot-sneaker-p-950-e26y-190-20,0.0,2.1,demo search query 004,5.0,0.0,3.0300000000000002,2.79,3.54,4.1,0.0,0.0,0.0,4.76,1.0,317.3959863333333,Demo Category 01,Uncategorized
2026-06-19,https://demo.example.com/page-010,/vicco-monny-baskili-kiz-ilk-adim-beyaz-sneaker-p-950-e26y-190-11,0.0,1.05,demo search query 005,8.0,0.0,2.02,0.9299999999999999,2.36,0.82,0.0,0.0,0.0,0.0,1.0,1621.650092,Demo Category 01,Uncategorized
2026-06-19,https://demo.example.com/page-011,/vicco-monny-baskili-kiz-ilk-adim-pudra-sneaker-p-950-e26y-190-114,0.0,1.05,demo search query 006,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Demo Category 01,Uncategorized
2026-06-20,https://demo.example.com/,/,283.62,3381.0,demo search query 007,2.9046583850931675,0.08388642413487134,1500.86,1100.1899999999998,867.3,1249.6799999999998,32499.8639808,10.92,86.64,1036.49,0.4946164199192463,103.21956671332435,Demo Category 01,Transactional
2026-06-20,https://demo.example.com/page-006,/vicco-monny-baskili-erkek-bebek-kot-sneaker-p-950-b26y-190-20,0.0,3.1500000000000004,demo search query 008,4.0,0.0,3.0300000000000002,0.0,2.36,3.28,0.0,0.0,0.76,1.19,0.6666666666666666,8.527789666666667,Demo Category 01,Uncategorized
2026-06-20,https://demo.example.com/page-008,/vicco-monny-baskili-kiz-bebek-beyaz-sneaker-p-950-b26y-190-11,0.0,2.1,demo search query 002,5.0,0.0,6.0600000000000005,1.8599999999999999,1.18,4.1,0.0,0.0,0.0,0.0,0.1666666666666666,7.567998499999999,Demo Category 01,Uncategorized
2026-06-20,https://demo.example.com/page-010,/vicco-monny-baskili-kiz-ilk-adim-beyaz-sneaker-p-950-e26y-190-11,0.0,4.2,demo search query 009,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Demo Category 01,Uncategorized
2026-06-20,https://demo.example.com/page-011,/vicco-monny-baskili-kiz-ilk-adim-pudra-sneaker-p-950-e26y-190-114,0.0,1.05,demo search query 006,3.0,0.0,3.0300000000000002,0.0,2.36,2.46,0.0,0.0,0.0,1.19,0.6666666666666666,13.558838,Demo Category 01,Uncategorized
2026-06-20,https://demo.example.com/page-013,/vicco-monny-kurklu-erkek-cocuk-lacivert-bot-p-941-f22k-235-01,0.0,2.1,demo search query 002,7.0,0.0,3.0300000000000002,0.0,2.36,2.46,0.0,0.0,0.0,1.19,0.6666666666666666,57.749269666666656,Demo Category 01,Uncategorized
2026-06-20,https://demo.example.com/page-014,/vicco-monny-kurklu-erkek-cocuk-saks-mavi-bot-p-941-f22k-235-05,0.0,2.1,demo search query 002,8.0,0.0,3.0300000000000002,0.0,3.54,4.92,0.0,0.0,2.2800000000000002,4.76,1.0,46.274826666666655,Demo Category 01,Uncategorized
2026-06-21,https://demo.example.com/,/,287.96999999999997,3596.25,demo search query 010,2.769051094890511,0.08007507820646506,1543.28,1086.24,857.8599999999999,1343.1599999999999,14374.4159112,5.88,102.6,1098.37,0.4757853403141361,100.94720976112566,Demo Category 01,Navigational
2026-06-21,https://demo.example.com/page-006,/vicco-monny-baskili-erkek-bebek-kot-sneaker-p-950-b26y-190-20,0.0,2.1,demo search query 002,2.5,0.0,7.07,0.9299999999999999,1.18,4.92,0.0,0.0,0.0,2.38,0.1428571428571428,12.263027285714289,Demo Category 01,Uncategorized
2026-06-21,https://demo.example.com/page-009,/vicco-monny-baskili-kiz-bebek-pudra-sneaker-p-950-b26y-190-114,0.0,1.05,demo search query 002,9.0,0.0,2.02,0.0,1.18,1.64,0.0,0.0,0.0,1.19,0.5,9.4479365,Demo Category 01,Uncategorized
2026-06-21,https://demo.example.com/page-010,/vicco-monny-baskili-kiz-ilk-adim-beyaz-sneaker-p-950-e26y-190-11,0.0,2.1,demo search query 002,1.0,0.0,1.01,0.0,1.18,1.64,0.0,0.0,0.76,1.19,1.0,19.656516,Demo Category 01,Uncategorized
2026-06-21,https://demo.example.com/page-013,/vicco-monny-kurklu-erkek-cocuk-lacivert-bot-p-941-f22k-235-01,0.0,2.1,demo search query 002,6.5,0.0,2.02,0.0,2.36,1.64,0.0,0.0,0.0,2.38,1.0,36.044275,Demo Category 01,Uncategorized
