ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,MLOnlyCTRPredictedImpressions
2026-05-19,1832.860952,82571.79457799999,3063.5000000000005,1716.26,74112.39,1691.61,-281.0386450000001,-4929.839090000006,53795.57620007337
2026-05-20,1761.317376,82477.59752699999,3063.5000000000005,1492.3999999999999,64048.05,1627.1999999999998,-107.46176000000004,6668.474064999999,53734.20676198872
2026-05-21,1713.2593920000002,81773.90395200001,3063.5000000000005,1358.74,60396.93,1539.06,-8.18991999999995,10218.009440000005,53275.749954444655
2026-05-22,1609.885368,81652.33311299999,3063.5000000000005,1558.82,56722.05,1436.2299999999998,-300.07830500000006,14367.316734999997,53196.54647622845
2026-05-23,1707.5151600000002,83844.691983,3063.5000000000005,1695.76,61932.42,1448.6599999999999,-362.23472499999997,10469.749385,54624.86966154548
2026-05-24,1846.489216,84558.945861,3063.5000000000005,1560.4599999999998,62496.72,1459.9599999999998,-108.40016000000006,10516.293795000001,55090.20651314861
2026-05-25,1611.767768,84406.754484,3063.5000000000005,1462.8799999999999,56679.479999999996,1387.6399999999999,-199.0898049999999,17124.103980000004,54991.05373512991
2026-05-26,1510.6071760000002,83348.820711,3063.5000000000005,1098.8,48486.24,1394.4199999999998,95.63086500000007,25601.654545,54301.80921536485
2026-05-27,1516.304816,82849.422474,3063.5000000000005,552.68,27439.829999999998,1131.1299999999999,666.38759,49558.64302999999,53976.45094926422
2026-05-28,1474.0074960000002,82453.293234,3063.5000000000005,731.4399999999999,33956.01,1191.02,446.5176650000001,41599.98522999999,53718.37249978391
2026-05-29,1460.141384,82481.85913499999,3063.5000000000005,788.8399999999999,36760.68,1252.04,375.684785,38370.112825,53736.98320228617
2026-05-30,1494.4930000000002,84066.979698,3063.5000000000005,936.4399999999999,42213.6,1307.4099999999999,250.76062500000003,33593.937309999994,54769.69024794228
2026-05-31,1652.480232,84544.638516,3063.5000000000005,1313.6399999999999,49493.07,1385.3799999999999,-11.11519500000006,25607.481020000003,55080.88526886535
2026-06-01,1532.363144,85059.530712,3063.5000000000005,1509.62,57006.18,1506.29,-312.43781500000006,17386.221640000007,55416.33785901799
2026-06-02,1426.4767920000002,84569.10684299999,3063.5000000000005,1475.1799999999998,57603.15,1430.58,-363.279545,16210.731084999994,55096.82639932453
2026-06-03,1428.201424,84302.45343,3063.5000000000005,1453.04,56580.479999999996,1517.59,-338.91999,17136.58585,54923.10153272374
2026-06-04,1408.592224,84413.86188299999,3063.5000000000005,1491.58,57119.04,1508.55,-394.89674,16620.489885,54995.68421005713
2026-06-05,1452.6461040000002,84699.510012,3063.5000000000005,1334.9599999999998,53932.229999999996,1411.37,-196.54116499999998,20603.10514,55181.78414610142
2026-06-06,1549.8388880000002,86218.753959,3063.5000000000005,1445.6599999999999,58845.6,1437.36,-231.85475499999993,16388.929105000003,56171.57253492147
2026-06-07,1707.372264,86721.969321,3063.5000000000005,1612.9399999999998,66453.75,1449.79,-276.50151500000004,8045.792495,56499.41766036496
2026-06-08,1615.618472,86945.261481,3063.5000000000005,1794.1599999999999,69180.21,1447.53,-539.342595,5098.167694999997,56644.89264331221
2026-06-09,1585.8752000000002,85581.95197499999,3063.5000000000005,1632.62,60729.57,1409.11,-396.2019999999999,13574.562625,55756.69564106554
2026-06-10,1574.446744,85066.75768499999,3063.5000000000005,1330.86,56949.75,1447.53,-92.74256499999997,17458.875074999996,55421.04623648155
2026-06-11,1569.246536,84812.70915,3063.5000000000005,1239.02,53060.04,1472.3899999999999,-1.792735000000107,21727.519249999994,55255.5334558407
2026-06-12,1507.58972,84844.32489,3063.5000000000005,1227.54,50763.24,1383.12,-40.28532500000009,24426.594550000005,55276.13113037333
2026-06-13,1622.7349840000002,86508.143982,3063.5000000000005,1222.62,52494.75,1507.4199999999998,58.92378500000007,24050.622289999996,56360.11031726471
2026-06-14,1743.253096,87329.33164799999,3063.5000000000005,1284.12,54418.32,1450.9199999999998,93.67416499999997,22623.322559999997,56895.114599134016
2026-06-15,1614.909816,87421.591413,3063.5000000000005,1606.3799999999999,57321.0,1446.3999999999999,-345.27178499999997,19342.205235,56955.22189416888
2026-06-16,1504.017008,86289.657246,3063.5000000000005,1402.1999999999998,53033.31,1395.55,-224.25533,23210.27037,56217.766071081576
2026-06-17,1460.1087280000002,85683.25654199999,3063.5000000000005,1403.84,55656.81,1419.28,-261.8419049999999,19566.735489999992,55822.69563030298
2026-06-18,1435.335512,85260.60176399999,3063.5000000000005,1184.08,48682.26,1389.8999999999999,-54.28924499999997,27253.05558,55547.33577610064
2026-06-19,1364.9478960000001,84969.316575,3063.5000000000005,1034.02,44256.96,1336.79,43.73241500000006,32107.249625,55357.56329191416
2026-06-20,1449.959056,86080.83786900001,3063.5000000000005,1080.76,46008.27,1322.1,64.76268999999994,31165.420555000008,56081.720115378834
2026-06-21,1611.5424,86389.145622,3063.5000000000005,1197.1999999999998,48841.65,1366.1699999999998,76.12599999999995,28177.15809,56282.58281073805
2026-06-22,1513.837728,86617.304982,3063.5000000000005,1202.9399999999998,51533.46,1396.6799999999998,-9.678779999999994,25274.567290000003,56431.228777552366
2026-06-23,1403.337416,85040.052786,3063.5000000000005,1180.8,46958.67,1361.6499999999999,-77.04153499999993,29038.426669999997,55403.64797795499
2026-06-24,1406.98792,84606.801201,3063.5000000000005,1088.96,45062.82,1313.06,21.14205000000004,30814.831095,55121.38429731459
2026-06-25,1421.59212,84277.441872,3063.5000000000005,1019.26,43212.51,1325.4899999999998,105.32817500000006,32640.45184,54906.80648692574
2026-06-26,1388.541232,84163.30334099999,3063.5000000000005,920.04,40933.53,1270.12,181.16543,35175.564394999994,54832.445162055
