ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError
2026-07-18,446.951041,18515.167879999997,1435.5,566.74,17529.86,435.82,-37.85802299999998,800.944969999998
2026-07-19,457.039057,18876.61704,1435.5,561.58,19803.14,484.33,-21.804470999999968,-2288.7817399999967
2026-07-20,478.236359,19154.379484,1435.5,578.78,18561.42,397.32,-14.484177000000019,142.95577100000014
2026-07-21,505.53142399999996,18764.842016000002,1435.5,601.14,18748.64,439.67,-5.257872000000039,-768.0478959999983
2026-07-22,516.421564,18755.985812,1435.5,528.9,17342.64,414.26,74.86570799999996,1479.0851530000004
2026-07-23,501.794043,18346.777568,1435.5,540.9399999999999,17103.62,403.48,47.29517099999999,1222.7211920000009
2026-07-24,462.426968,18220.821552,1435.5,542.66,17011.12,444.29,1.9938959999999804,1174.250588000002
2026-07-25,474.210993,18454.525656,1435.5,563.3,16966.72,436.59000000000003,-4.370678999999986,1611.5820139999996
2026-07-26,477.59972600000003,18985.88604,1435.5,616.62,17866.56,411.18,-50.83057799999997,996.54051
2026-07-27,487.05556199999995,19196.193543999998,1435.5,576.2,18943.26,428.89,-2.2684860000000255,-405.61221400000187
2026-07-28,500.260605,18586.275684,1435.5,566.74,17901.34,417.34000000000003,21.293684999999996,314.9048209999989
2026-07-29,504.020397,18611.60124,1435.5,551.26,18072.28,465.08,40.04550899999999,79.66931000000062
2026-07-30,484.36814,18425.661692,1435.5,518.58,17057.0,425.81,49.01958000000002,1421.2071230000017
2026-07-31,491.97882799999996,18290.042048,1435.5,534.92,16083.16,398.86,42.07431599999995,2774.8953119999987
2026-08-01,526.014859,18574.19784,1435.5,565.02,17260.5,407.33,51.49032300000001,1326.5334600000003
2026-08-02,475.160796,18204.03718,1435.5,568.46,18194.38,418.11,-8.17678799999997,-754.8402050000017
2026-08-03,467.270445,18197.636004,1435.5,537.5,16979.3,417.34000000000003,12.228164999999992,1189.1169010000003
2026-08-04,466.099598,17815.744592,1435.5,514.28,16883.84,404.25,32.79900600000003,744.6653479999985
2026-08-05,483.46177199999994,17939.584616,1435.5,556.42,16846.84,390.39,12.373883999999974,998.0727539999997
2026-08-06,472.057931,17858.168324,1435.5,621.78,17589.06,393.47,-61.839692999999954,-322.97801900000115
2026-08-07,445.679454,17488.368664,1435.5,503.96,15329.84,361.90000000000003,19.861038000000026,2731.0635659999994
2026-08-08,454.727293,17538.180584,1435.5,512.56,16608.56,388.85,21.800420999999965,752.7385460000008
2026-08-09,454.882126,17859.158148,1435.5,566.74,18716.079999999998,408.1,-29.057777999999967,-2133.7981630000004
2026-08-10,457.08453599999996,17956.604511999998,1435.5,619.2,19574.48,400.40000000000003,-76.02400800000001,-3361.6176720000008
2026-08-11,458.135079,17556.95532,1435.5,648.4399999999999,19505.66,428.12,-102.39833699999996,-3876.714169999998
2026-08-12,459.56237500000003,17607.782676,1435.5,764.54,21431.88,407.33,-210.16462499999997,-6894.6992310000005
2026-08-13,446.652544,17413.546284,1435.5,673.38,20329.28,448.14,-138.629232,-5425.732528999999
2026-08-14,434.50548999999995,17166.163776,1435.5,626.9399999999999,19286.62,400.40000000000003,-108.36747000000003,-4136.371456
2026-08-15,453.19911099999996,17104.357384000003,1435.5,698.3199999999999,19938.56,391.16,-154.855233,-5281.537253999999
2026-08-16,450.929979,17576.308568,1435.5,732.72,20825.079999999998,401.17,-189.773037,-5968.181058
