ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError
2026-02-18,1128.2130289999998,55376.02246000001,4060.68,833.45,51242.619999999995,1291.68,-0.6310179999999491,-9476.345891999998
2026-02-19,1140.232018,53872.85871,4060.68,750.5,42183.259999999995,1323.0,122.5756440000001,-1924.7856420000014
2026-02-20,1148.998421,53610.783050000005,4060.68,756.0300000000001,40331.7,1242.0,123.84011800000009,-349.3811100000008
2026-02-21,1212.085728,56613.12107000001,4060.68,968.5400000000001,49361.53999999999,1386.72,-98.80217599999992,-6809.810513999999
2026-02-22,1259.204462,57825.22482,4060.68,1019.1,48638.299999999996,1331.64,-119.96380400000012,-5262.358764
2026-02-23,1211.8345989999998,56510.59799000001,4060.68,977.23,45178.719999999994,1327.3200000000002,-110.71095800000013,-2903.7286979999976
2026-02-24,1143.576624,55563.99519000001,4060.68,1042.01,46188.96,1279.8000000000002,-265.2510079999999,-4535.916138
2026-02-25,1124.2619469999997,55166.56728,4060.68,929.83,42530.939999999995,1307.88,-133.86517400000005,-1338.1486559999996
2026-02-26,1115.3959269999998,55025.08858000001,4060.68,953.5300000000001,43186.939999999995,1388.88,-174.44833399999987,-2062.469915999998
2026-02-27,1117.0753989999998,54969.438590000005,4060.68,889.5400000000001,43374.719999999994,1303.5600000000002,-86.92455800000006,-2280.550818000001
2026-02-28,1162.925969,57505.43535000001,4060.68,1150.24,45014.719999999994,1352.16,-391.302498,-2042.29857
2026-03-01,1198.4032099999997,58272.56336000001,4060.68,1320.0900000000001,53646.85999999999,1391.0400000000002,-584.0568200000001,-9709.395072000001
2026-03-02,1163.5814509999998,57028.5265,4060.68,1335.89,51455.0,1469.88,-639.753142,-8506.590300000002
2026-03-03,1104.8709789999998,56885.43938,4060.68,1336.68,53163.06,1439.64,-698.974918,-10232.792076000002
2026-03-04,1102.6109249999997,56479.460730000006,4060.68,1426.74,58056.82,1415.88,-822.0538500000001,-15175.707846000001
2026-03-05,1096.7784619999998,56571.09491000001,4060.68,1378.55,57231.079999999994,1429.92,-763.1718040000002,-14325.270881999999
2026-03-06,1096.579121,56728.98055,4060.68,1357.22,56164.259999999995,1395.3600000000001,-734.749282,-13198.535610000003
2026-03-07,1143.5684919999999,58919.53617,4060.68,1484.41,62784.119999999995,1446.1200000000001,-858.8590640000001,-17942.172534
