HorizonDays,Metric,Candidate,InnerValidationRows,MAPE,MedianAPE,BiasPct,Selected
90,clicks,DirectHGBR,37.8,7.590579999999999,8.414665,-7.0766,1.15
90,clicks,DirectGradientBoosting,37.8,8.471938999999999,11.175009999999999,-8.0973,0.0
90,clicks,DirectRandomForest,37.8,9.19986,9.52085,-8.8593,0.0
90,clicks,Recent28RunRate,37.8,39.122409999999995,36.487545,14.3696,0.0
90,clicks,Recent56RunRate,37.8,39.604766,45.722159999999995,35.1885,0.0
90,impressions,DirectHGBR,37.8,9.534555999999998,10.842659999999999,8.8589,1.15
90,impressions,DirectRandomForest,37.8,9.75626,10.622205,9.0774,0.0
90,impressions,DirectGradientBoosting,37.8,21.488167999999998,24.758349999999997,20.042,0.0
90,impressions,Recent28RunRate,37.8,29.277768,29.220695,7.472,0.0
90,impressions,Recent56RunRate,37.8,31.688905999999996,34.12728499999999,27.7567,0.0
180,clicks,DirectGradientBoosting,17.64,0.670569,0.729215,-0.6269,1.15
180,clicks,DirectRandomForest,17.64,0.8359909999999998,0.8877999999999999,-0.7815,0.0
180,clicks,DirectHGBR,17.64,1.3765549999999998,0.9461049999999999,-1.2866,0.0
180,clicks,Recent56RunRate,17.64,50.435947999999996,55.22621999999999,-47.1385,0.0
180,clicks,Recent28RunRate,17.64,58.24972999999999,63.11234499999999,-54.4393,0.0
180,impressions,DirectHGBR,17.64,1.4434299999999998,1.6304699999999999,1.3417,1.15
180,impressions,DirectGradientBoosting,17.64,1.5034569999999998,1.5347899999999999,1.3971,0.0
180,impressions,DirectRandomForest,17.64,1.5129799999999998,1.5115599999999998,1.4062,0.0
180,impressions,Recent56RunRate,17.64,33.482974999999996,36.86923,-31.2756,0.0
180,impressions,Recent28RunRate,17.64,42.39297199999999,46.76038,-39.6552,0.0
