Feature,Importance,Model,Algorithm,ForecastFamily
TrafficValue,0.167315458198148,Next_Clicks,RandomForest,RecursiveDailyML
VisibilityScore,0.1530265327787152,Next_Clicks,RandomForest,RecursiveDailyML
clicks,0.1449335480142808,Next_Clicks,RandomForest,RecursiveDailyML
clicks_lag_7_avg,0.095039171648434,Next_Clicks,RandomForest,RecursiveDailyML
TrafficValue_lag_7_avg,0.08893049234977138,Next_Clicks,RandomForest,RecursiveDailyML
conversions,0.01396747527270804,Next_Clicks,RandomForest,RecursiveDailyML
users,0.00915903979080984,Next_Clicks,RandomForest,RecursiveDailyML
sessions,0.007551268368159168,Next_Clicks,RandomForest,RecursiveDailyML
clicks_lag_1,0.007031411910819936,Next_Clicks,RandomForest,RecursiveDailyML
TrafficValue_lag_1,0.0046403271155553115,Next_Clicks,RandomForest,RecursiveDailyML
impressions,0.004383556915250376,Next_Clicks,RandomForest,RecursiveDailyML
checkouts,0.003071799217269648,Next_Clicks,RandomForest,RecursiveDailyML
clicks_change,0.002167104174179904,Next_Clicks,RandomForest,RecursiveDailyML
impressions_lag_7_avg,0.00165434387780772,Next_Clicks,RandomForest,RecursiveDailyML
add_to_carts,0.001645400054284344,Next_Clicks,RandomForest,RecursiveDailyML
position_lag_7_avg,0.001619485273419624,Next_Clicks,RandomForest,RecursiveDailyML
ctr_change,0.001175097669558048,Next_Clicks,RandomForest,RecursiveDailyML
engagement_rate,0.001127747599478712,Next_Clicks,RandomForest,RecursiveDailyML
revenue,0.001097832049874136,Next_Clicks,RandomForest,RecursiveDailyML
day_of_week,0.0008331662360551679,Next_Clicks,RandomForest,RecursiveDailyML
impressions_lag_1,0.0007982045893904399,Next_Clicks,RandomForest,RecursiveDailyML
RankStrength,0.00077484591483876,Next_Clicks,RandomForest,RecursiveDailyML
impressions_change,0.000771781913031024,Next_Clicks,RandomForest,RecursiveDailyML
CTR_lag_1,0.000673727881579344,Next_Clicks,RandomForest,RecursiveDailyML
RevenuePerOrganicSession,0.0006601402027298879,Next_Clicks,RandomForest,RecursiveDailyML
engaged_sessions,0.0006361702398421199,Next_Clicks,RandomForest,RecursiveDailyML
OrganicConversionRate,0.0006123547467005039,Next_Clicks,RandomForest,RecursiveDailyML
position_lag_1,0.000609268515864408,Next_Clicks,RandomForest,RecursiveDailyML
day_of_month,0.0006014127587459759,Next_Clicks,RandomForest,RecursiveDailyML
purchases,0.00047234338237274394,Next_Clicks,RandomForest,RecursiveDailyML
position,0.00044702291754036,Next_Clicks,RandomForest,RecursiveDailyML
CartRate,0.000436964667939648,Next_Clicks,RandomForest,RecursiveDailyML
CheckoutRate,0.00040245908934952797,Next_Clicks,RandomForest,RecursiveDailyML
CTR,0.00037876541542272,Next_Clicks,RandomForest,RecursiveDailyML
CTR_lag_7_avg,0.00034889849362144796,Next_Clicks,RandomForest,RecursiveDailyML
average_session_duration,0.00034720146864734397,Next_Clicks,RandomForest,RecursiveDailyML
position_change,0.00029809243748282397,Next_Clicks,RandomForest,RecursiveDailyML
RevenuePerOrganicClick,0.00023749500120537597,Next_Clicks,RandomForest,RecursiveDailyML
month_num,8.413134574716e-05,Next_Clicks,RandomForest,RecursiveDailyML
is_weekend,1.593197564736215e-05,Next_Clicks,RandomForest,RecursiveDailyML
quarter,1.4439474818340169e-05,Next_Clicks,RandomForest,RecursiveDailyML
Top3Flag,7.855550560685431e-06,Next_Clicks,RandomForest,RecursiveDailyML
Top10Flag,2.3350234117286488e-07,Next_Clicks,RandomForest,RecursiveDailyML
Page2Flag,0.0,Next_Clicks,RandomForest,RecursiveDailyML
impressions_change,632.88,Next_Impressions,LightGBM,RecursiveDailyML
impressions,552.24,Next_Impressions,LightGBM,RecursiveDailyML
impressions_lag_7_avg,298.8,Next_Impressions,LightGBM,RecursiveDailyML
impressions_lag_1,278.64,Next_Impressions,LightGBM,RecursiveDailyML
day_of_week,271.44,Next_Impressions,LightGBM,RecursiveDailyML
sessions,230.39999999999998,Next_Impressions,LightGBM,RecursiveDailyML
users,218.88,Next_Impressions,LightGBM,RecursiveDailyML
engaged_sessions,213.12,Next_Impressions,LightGBM,RecursiveDailyML
conversions,196.56,Next_Impressions,LightGBM,RecursiveDailyML
day_of_month,175.68,Next_Impressions,LightGBM,RecursiveDailyML
