ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,ChampionClicks,ChampionImpressions
2026-02-18,1054.4047,38259.797336,4862.129999999999,1202.6999999999998,59991.36,1447.1599999999999,-0.5893469999999524,-10691.262031999997,1063.4658042903845,55009.19598244149
2026-02-19,1065.6374,37221.247836,4862.129999999999,1083.0,49385.28,1482.25,114.48102600000009,-2171.5530320000016,1009.873921495344,55220.80501666026
2026-02-20,1073.8303,37040.17738,4862.129999999999,1090.98,47217.6,1391.5,115.66199700000007,-394.17356000000086,983.8473045514988,55244.179654988846
2026-02-21,1132.7904,39114.520012,4862.129999999999,1397.6399999999999,57789.119999999995,1553.6399999999999,-92.27750399999992,-7682.863143999998,1101.6752894981103,59369.95054613172
2026-02-22,1176.8266,39951.973512000004,4862.129999999999,1470.6,56942.4,1491.93,-112.0416660000001,-5937.020143999999,1230.1363629786033,63096.93042283371
2026-02-23,1132.5557,39043.685884000006,4862.129999999999,1410.1799999999998,52892.159999999996,1487.09,-103.39985700000013,-3276.0016079999973,1289.4281857705025,59055.24202726033
2026-02-24,1068.7632,38389.669404,4862.129999999999,1503.6599999999999,54074.88,1433.85,-247.7344319999999,-5117.443848,1181.7577657534268,57669.47634374991
2026-02-25,1050.7121,38115.082848,4862.129999999999,1341.78,49792.32,1465.31,-125.02502100000004,-1509.7061759999995,1172.0062942380775,56554.04151217495
2026-02-26,1042.4261,38017.333928,4862.129999999999,1375.9799999999998,50560.32,1556.06,-162.92816099999988,-2326.889135999998,1154.5140779049648,58523.922214495826
2026-02-27,1043.9957,37978.884844,4862.129999999999,1283.6399999999999,50780.159999999996,1460.47,-81.18425700000006,-2572.929128000001,1116.8192653711733,57542.64005760337
2026-02-28,1086.8467,39731.02806,4862.129999999999,1659.84,52700.159999999996,1514.9199999999998,-365.461767,-2304.13172,1107.2354699502416,59203.94256975798
2026-03-01,1120.003,40261.043776,4862.129999999999,1904.9399999999998,62806.079999999994,1558.48,-545.4870300000001,-10954.189312,1217.4940272428248,62715.51472325884
2026-03-02,1087.4593,39401.5274,4862.129999999999,1927.7399999999998,60240.0,1646.81,-597.505293,-9597.178800000002,1262.219030969232,58157.45610893948
2026-03-03,1032.5897,39302.667208,4862.129999999999,1928.8799999999999,62239.68,1612.93,-652.816197,-11544.688496000002,1209.148591699699,57472.73263008618
2026-03-04,1030.4775,39022.172868,4862.129999999999,2058.8399999999997,67968.95999999999,1586.31,-767.767275,-17121.311416,1187.6154701270787,57402.389334035695
2026-03-05,1025.0266,39085.483756,4862.129999999999,1989.2999999999997,67002.23999999999,1602.04,-712.773666,-16161.844072,1143.5848351622105,56924.97286487323
2026-03-06,1024.8403,39194.56838,4862.129999999999,1958.5199999999998,65753.28,1563.32,-686.2281029999999,-14890.655560000003,1062.5883399997765,57447.78261750461
2026-03-07,1068.7556,40708.043172,4862.129999999999,2142.06,73503.36,1620.19,-802.141956,-20242.451064,1105.3181506287303,58899.45473597013
2026-03-08,1099.0699,41159.782916000004,4862.129999999999,2383.74,77757.12,1599.62,-982.010799,-23618.663991999998,1231.775156345728,62824.818718131246
2026-03-09,1060.2184,40347.933284,4862.129999999999,2633.3999999999996,76767.36,1664.96,-1237.283784,-23651.420407999998,1263.8074466753728,57992.64222817856
2026-03-10,993.5783,39896.82016,4862.129999999999,2775.8999999999996,78887.04,1661.33,-1427.007483,-26116.80192,1230.787058994818,57582.03662495858
2026-03-11,985.0105,39615.676552000004,4862.129999999999,2608.3199999999997,83527.68,1669.8,-1289.9596049999998,-30696.256623999998,1215.4766202248954,57165.13855360344
2026-03-12,985.1074,39611.349948,4862.129999999999,2652.7799999999997,81897.59999999999,1656.49,-1328.4736739999998,-29207.026376,1146.3157166683832,57187.157198743786
2026-03-13,982.6682,39656.310864,4862.129999999999,2590.08,78600.0,1646.81,-1276.438482,-26132.166368000002,1061.541252501208,57210.53183707236
2026-03-14,1063.8076999999998,41547.915752,4862.129999999999,2880.7799999999997,92372.16,1718.2,-1448.5603770000002,-36566.367024,1113.4680913157358,58899.45473597013
2026-03-15,1101.8539,42794.241728,4862.129999999999,3148.68,96609.59999999999,1638.34,-1643.544639,-39007.572736,1213.294854473532,63603.590717732564
2026-03-16,1066.3708,41905.79846,4862.129999999999,2307.3599999999997,76818.23999999999,1615.35,-948.052908,-21894.216519999998,1266.8951172306552,59087.689995545516
2026-03-17,1043.4912,41055.901784,4862.129999999999,2213.8799999999997,74892.48,1512.5,-889.523712,-21113.027408,1229.1945344114545,57403.15680782677
2026-03-18,1038.7172,40891.451388,4862.129999999999,2040.6,64355.52,1464.1,-743.7699719999999,-11644.563655999997,1215.387123489584,57055.83455873105
2026-03-19,1046.9315,40984.692444,4862.129999999999,1366.86,49570.56,1338.26,-150.54781500000007,2016.2796720000008,1145.3304659253788,57077.85320387139
2026-03-20,1042.9996,40966.298164,4862.129999999999,837.9,31885.44,1104.73,304.9196040000001,18206.341032,1083.0194241803893,57101.227842199965
2026-03-21,1129.742,42713.94902,4862.129999999999,1161.6599999999999,39007.68,1249.93,109.63457999999996,13701.216760000001,1113.5705273137598,58790.150741097736
2026-03-22,1153.9092,43705.13,4862.129999999999,1461.4799999999998,44952.96,1347.94,-126.80989199999995,9399.06,1206.3589918326948,63639.10774097496
2026-03-23,1087.9052,42908.954456,4862.129999999999,1442.1,46825.92,1353.99,-175.32385200000007,6760.292528000001,1265.0527366278834,58791.967631939326
2026-03-24,1049.69,41889.77196,4862.129999999999,1380.54,44928.0,1364.8799999999999,-159.69689999999997,7319.94648,1251.2145266688262,57582.03662495858
2026-03-25,1035.2496,41540.314764,4862.129999999999,1461.4799999999998,46607.04,1368.51,-244.28289600000014,5376.191832000003,1232.2917627504528,57165.13855360344
2026-03-26,1034.321,41527.810636,4862.129999999999,1317.84,45837.119999999995,1303.17,-120.46221000000007,6067.473368000004,1165.3677407203184,57187.157198743786
2026-03-27,1044.0327,41624.648772,4862.129999999999,1326.9599999999998,47269.439999999995,1376.98,-118.76762700000002,4866.641736000001,1144.2730289681012,57101.227842199965
2026-03-28,1142.0135,43430.044883999995,4862.129999999999,1463.7599999999998,51360.96,1438.69,-140.566635,3206.540391999997,1196.6568652709043,58790.150741097736
2026-03-29,1173.2204,44282.865508,4862.129999999999,1576.62,52772.159999999996,1441.11,-207.68180400000006,2900.416904,1345.2425924621807,63529.80374610257
2026-03-30,1122.9859,43452.926812000005,4862.129999999999,1474.02,49182.72,1408.44,-168.3139590000001,5229.755256000002,1313.302122533251,58791.967631939326
2026-03-31,1064.4803,42171.929104,4862.129999999999,1313.28,47428.799999999996,1387.87,-86.64450300000006,5354.254752000002,1229.8375875385263,57582.03662495858
2026-04-01,1069.6242,42970.195788,4862.129999999999,1502.52,49654.08,1398.76,-245.89204200000003,4238.723544,1211.872411739069,57165.13855360344
