Model,Algorithm,RowIndex,Page,ObservationDate,PageType,KeywordIntent,Feature,FeatureValue,SHAPValue,AbsSHAPValue,Direction,BaseValue,Prediction
Next_Clicks,RandomForest,0.0,https://demo.example.com/,2026-08-15,category,Transactional,VisibilityScore,213.3,72.08593785047671,67.92713374371843,increase,1.6321620212338592,341.94680033333333
Next_Clicks,RandomForest,0.0,https://demo.example.com/,2026-08-15,category,Transactional,TrafficValue,106.65,66.01397192402493,62.20547354379272,increase,1.6321620212338592,341.94680033333333
Next_Clicks,RandomForest,0.0,https://demo.example.com/,2026-08-15,category,Transactional,clicks,213.3,62.71366945393864,59.095573139288334,increase,1.6321620212338592,341.94680033333333
Next_Clicks,RandomForest,0.0,https://demo.example.com/,2026-08-15,category,Transactional,clicks_lag_7_avg,219.16857142857145,34.39727429250507,32.41281616024516,increase,1.6321620212338592,341.94680033333333
Next_Clicks,RandomForest,0.0,https://demo.example.com/,2026-08-15,category,Transactional,TrafficValue_lag_7_avg,109.58428571428573,26.704885914191554,25.16421941914204,increase,1.6321620212338592,341.94680033333333
Next_Clicks,RandomForest,0.0,https://demo.example.com/,2026-08-15,category,Transactional,users,707.0500000000001,11.789800606623766,11.109619802395471,increase,1.6321620212338592,341.94680033333333
Next_Clicks,RandomForest,0.0,https://demo.example.com/,2026-08-15,category,Transactional,conversions,887.1700000000001,10.092184052595865,9.509942664946102,increase,1.6321620212338592,341.94680033333333
Next_Clicks,RandomForest,0.0,https://demo.example.com/,2026-08-15,category,Transactional,sessions,897.44,7.467673552529969,7.036846232191701,increase,1.6321620212338592,341.94680033333333
Next_Clicks,RandomForest,0.0,https://demo.example.com/,2026-08-15,category,Transactional,impressions,2084.81,3.453428128374113,3.2541918901986833,increase,1.6321620212338592,341.94680033333333
Next_Clicks,RandomForest,0.0,https://demo.example.com/,2026-08-15,category,Transactional,TrafficValue_lag_1,111.78500000000001,2.055769697187414,1.9371675992727553,increase,1.6321620212338592,341.94680033333333
Next_Impressions,LightGBM,0.0,https://demo.example.com/,2026-08-15,category,Transactional,impressions,2084.81,1850.9535999494167,1744.1678153369503,increase,57.512810330226856,3351.205204236437
Next_Impressions,LightGBM,0.0,https://demo.example.com/,2026-08-15,category,Transactional,impressions_lag_7_avg,1988.2042857142858,839.7770476496192,791.3283718236796,increase,57.512810330226856,3351.205204236437
Next_Impressions,LightGBM,0.0,https://demo.example.com/,2026-08-15,category,Transactional,sessions,897.44,64.84854303776028,61.10728093942796,increase,57.512810330226856,3351.205204236437
Next_Impressions,LightGBM,0.0,https://demo.example.com/,2026-08-15,category,Transactional,day_of_week,3.95,52.80882920437637,49.76216598104696,increase,57.512810330226856,3351.205204236437
Next_Impressions,LightGBM,0.0,https://demo.example.com/,2026-08-15,category,Transactional,impressions_lag_1,2019.24,44.406860664707345,41.84492639558961,increase,57.512810330226856,3351.205204236437
Next_Impressions,LightGBM,0.0,https://demo.example.com/,2026-08-15,category,Transactional,conversions,887.1700000000001,40.24167097975791,37.92003611554111,increase,57.512810330226856,3351.205204236437
Next_Impressions,LightGBM,0.0,https://demo.example.com/,2026-08-15,category,Transactional,engaged_sessions,410.8,-26.368204062001492,24.846961519962942,decrease,57.512810330226856,3351.205204236437
Next_Impressions,LightGBM,0.0,https://demo.example.com/,2026-08-15,category,Transactional,users,707.0500000000001,18.379225355701315,17.318885431333932,increase,57.512810330226856,3351.205204236437
Next_Impressions,LightGBM,0.0,https://demo.example.com/,2026-08-15,category,Transactional,clicks_lag_1,223.57000000000002,-18.313568603827452,17.25701656899125,decrease,57.512810330226856,3351.205204236437
Next_Impressions,LightGBM,0.0,https://demo.example.com/,2026-08-15,category,Transactional,checkouts,391.84000000000003,12.095125404840516,11.397329708407408,increase,57.512810330226856,3351.205204236437
