Model,Algorithm,Feature,MeanAbsSHAP,MeanSHAP,PositiveImpactRows,NegativeImpactRows,ZeroImpactRows,ImportanceRank
Next_Clicks,RandomForest,clicks_lag_7_avg,0.7021202098789345,-0.10044410015151792,9,191,0,1
Next_Clicks,RandomForest,VisibilityScore,0.6349130871844207,0.17683308104332415,1,199,0,2
Next_Clicks,RandomForest,TrafficValue_lag_7_avg,0.6063575690590463,-0.10433608184941252,9,191,0,3
Next_Clicks,RandomForest,TrafficValue,0.574616327446395,0.16785321338467363,1,199,0,4
Next_Clicks,RandomForest,clicks,0.5513449196486009,0.15472704875716653,1,199,0,5
Next_Clicks,RandomForest,users,0.0936624612419146,0.03775429833994287,1,199,0,6
Next_Clicks,RandomForest,conversions,0.09084891682658223,0.02305640592307899,1,199,0,7
Next_Clicks,RandomForest,sessions,0.06330414401329452,0.020461432948486635,1,199,0,8
Next_Clicks,RandomForest,impressions,0.0563947887734865,-0.00655903180998639,25,175,0,9
Next_Clicks,RandomForest,impressions_lag_7_avg,0.02495433078474744,0.00023642943078373501,35,165,0,10
Next_Clicks,RandomForest,clicks_lag_1,0.01753535672382416,0.005033941062534301,2,198,0,11
Next_Clicks,RandomForest,TrafficValue_lag_1,0.017364915252049893,0.005734907526845175,2,198,0,12
Next_Clicks,RandomForest,position_lag_7_avg,0.01388815440503008,-0.005896424754309916,48,152,0,13
Next_Clicks,RandomForest,clicks_change,0.01346407236638454,-0.00677637886344027,3,197,0,14
Next_Clicks,RandomForest,CTR_lag_7_avg,0.013125694639581633,0.00769358542963752,65,135,0,15
Next_Clicks,RandomForest,impressions_lag_1,0.009770430373999769,0.00030814536627966004,13,187,0,16
Next_Clicks,RandomForest,impressions_change,0.00973228051630053,0.0018870502567045501,8,192,0,17
Next_Clicks,RandomForest,ctr_change,0.009162355394601045,-0.005705239468284826,23,177,0,18
Next_Clicks,RandomForest,add_to_carts,0.008090603885159312,-0.00702077196646056,0,200,0,19
Next_Clicks,RandomForest,engaged_sessions,0.006193164576491552,0.00036221844621774,4,196,0,20
Next_Clicks,RandomForest,OrganicConversionRate,0.005399987201019575,0.001935067666136325,110,90,0,21
Next_Clicks,RandomForest,position_lag_1,0.005253630476888574,-0.00228902363940495,72,128,0,22
Next_Clicks,RandomForest,CTR_lag_1,0.005252330859784228,-0.00088411868021631,182,18,0,23
Next_Clicks,RandomForest,checkouts,0.00500841154058674,-0.004036731128296335,3,197,0,24
Next_Clicks,RandomForest,purchases,0.004758426739883685,-0.004129213286675926,0,200,0,25
Next_Clicks,RandomForest,CartRate,0.004324779870614533,-0.002131025628240915,31,169,0,26
Next_Clicks,RandomForest,RevenuePerOrganicClick,0.0040857358700604595,0.00348013041015549,195,5,0,27
Next_Clicks,RandomForest,CheckoutRate,0.004043320954909125,-0.0027847614241167003,22,178,0,28
Next_Clicks,RandomForest,month_num,0.004017929068418309,0.003486632662677045,200,0,0,29
Next_Clicks,RandomForest,average_session_duration,0.003196167825768357,0.00221220813035502,184,16,0,30
Next_Clicks,RandomForest,position_change,0.0030318662664020834,0.00022184391504534,90,110,0,31
Next_Clicks,RandomForest,day_of_week,0.002757240444990625,0.0017147601569889,196,4,0,32
Next_Clicks,RandomForest,revenue,0.0022802060511493117,2.707165211214505e-06,1,199,0,33
Next_Clicks,RandomForest,CTR,0.0018667425171270478,1.012204561957178e-05,190,10,0,34
Next_Clicks,RandomForest,engagement_rate,0.0018068699159180229,0.00105609385463253,175,25,0,35
Next_Clicks,RandomForest,position,0.00152613399204904,0.000334020122640855,85,115,0,36
Next_Clicks,RandomForest,RankStrength,0.001479258369624541,0.000161823805551765,67,133,0,37
Next_Clicks,RandomForest,day_of_month,0.001464804112508561,-2.8348097332104535e-05,2,198,0,38
Next_Clicks,RandomForest,is_weekend,0.000905366815906916,0.0007856488898365801,200,0,0,39
