week,page,page_type,clicks,impressions,position,CTR,TrafficValue,RankStrength,VisibilityScore,Top3Flag,Top10Flag,Page2Flag,sessions,users,engaged_sessions,engagement_rate,average_session_duration,conversions,revenue,purchases,add_to_carts,checkouts,OrganicConversionRate,RevenuePerOrganicSession,RevenuePerOrganicClick,CartRate,CheckoutRate
2026-06-15/2026-06-21,https://demo.example.com/,Demo Category 01,1087.83,12245.5,2.707803157707992,0.08883508227512146,597.635,0.369303062947325,1343.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15/2026-06-21,https://demo.example.com/page-006,Demo Category 01,0.0,5.699999999999999,2.833333333333333,0.0,0.0,0.3529411764705882,0.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15/2026-06-21,https://demo.example.com/page-007,Demo Category 01,0.0,1.9,5.0,0.0,0.0,0.2,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15/2026-06-21,https://demo.example.com/page-008,Demo Category 01,0.0,2.8499999999999996,8.0,0.0,0.0,0.125,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15/2026-06-21,https://demo.example.com/page-009,Demo Category 01,0.0,1.9,9.5,0.0,0.0,0.1052631578947368,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15/2026-06-21,https://demo.example.com/page-010,Demo Category 01,0.0,7.6,3.1875,0.0,0.0,0.3137254901960784,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15/2026-06-21,https://demo.example.com/page-011,Demo Category 01,0.0,1.9,2.5,0.0,0.0,0.4,0.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15/2026-06-21,https://demo.example.com/page-013,Demo Category 01,0.0,4.75,6.5,0.0,0.0,0.1538461538461538,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15/2026-06-21,https://demo.example.com/page-014,Demo Category 01,0.0,4.75,8.166666666666666,0.0,0.0,0.1224489795918367,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22/2026-06-28,https://demo.example.com/,Demo Category 01,1775.52,20452.55,2.7019287446495936,0.08681166896059415,975.44,0.3701059852078695,2192.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22/2026-06-28,https://demo.example.com/page-006,Demo Category 01,0.0,6.6499999999999995,5.375,0.0,0.0,0.1860465116279069,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22/2026-06-28,https://demo.example.com/page-007,Demo Category 01,0.0,4.75,4.333333333333333,0.0,0.0,0.2307692307692307,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22/2026-06-28,https://demo.example.com/page-010,Demo Category 01,0.0,10.45,2.722222222222222,0.0,0.0,0.3673469387755102,0.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22/2026-06-28,https://demo.example.com/page-011,Demo Category 01,0.0,4.75,5.375,0.0,0.0,0.1860465116279069,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22/2026-06-28,https://demo.example.com/page-013,Demo Category 01,0.0,0.95,8.0,0.0,0.0,0.125,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22/2026-06-28,https://demo.example.com/page-014,Demo Category 01,0.0,0.95,9.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29/2026-07-05,https://demo.example.com/,Demo Category 01,1733.3999999999999,19107.35,2.587341763787383,0.09071901650412015,952.3000000000001,0.3864970658287475,2140.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29/2026-07-05,https://demo.example.com/page-006,Demo Category 01,0.0,9.5,5.42,0.0,0.0,0.1845018450184501,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
